CVE,Vendor,Product,Type,Description,Date Discovered,Date Patched,Advisory,Analysis URL,Root Cause Analysis,Reported By
CVE-2020-12271,Sophos,XG Firewall,Logic/Design Flaw,SQL injection in admin interface/user portal,2020-04-22,2020-04-25,https://community.sophos.com/kb/en-us/135412,https://news.sophos.com/en-us/2020/04/26/asnarok/,???,???
CVE-2020-0938,Microsoft,Windows,Memory Corruption,Unspecified memory corruption in Adobe Type 1 PostScript format,???,2020-04-14,https://portal.msrc.microsoft.com/en-us/security-guidance/advisory/CVE-2020-0938,???,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2020/CVE-2020-0938.html,Liubenjin and Zhiyi Zhang from Codesafe Team of Legendsec at Qi'anxin Group
CVE-2020-1020,Microsoft,Windows,Memory Corruption,Unspecified memory corruption in Adobe Type 1 PostScript format,???,2020-04-14,https://portal.msrc.microsoft.com/en-us/security-guidance/advisory/CVE-2020-1020,???,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2020/CVE-2020-1020.html,Google Project Zero & Google's Threat Analysis Group
CVE-2020-1027,Microsoft,Windows,Memory Corruption,Unspecified memory corruption in Windows Kernel,2020-03-23,2020-04-14,https://portal.msrc.microsoft.com/en-us/security-guidance/advisory/CVE-2020-1027,???,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2020/CVE-2020-1027.html,Google Project Zero & Google's Threat Analysis Group
CVE-2020-6572,Google,Chrome,Memory Corruption,Use-after-free in media,2020-04-01,2020-04-07,https://chromereleases.googleblog.com/2020/04/stable-channel-update-for-desktop_7.html,???,https://googleprojectzero.github.io/0days-in-the-wild/0day-RCAs/2020/CVE-2020-6572.html,???
CVE-2020-6819,Mozilla,Firefox,Memory Corruption,Use-after-free while running the nsDocShell destructor,2020-03-08,2020-04-03,https://www.mozilla.org/en-US/security/advisories/mfsa2020-11/,???,???,Francisco Alonso @revskills working with Javier Marcos of @JMPSec
CVE-2020-6820,Mozilla,Firefox,Memory Corruption,Use-after-free when handling a ReadableStream,2020-04-01,2020-04-03,https://www.mozilla.org/en-US/security/advisories/mfsa2020-11/,???,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2020/CVE-2020-6820.html,Francisco Alonso @revskills working with Javier Marcos of @JMPSec
CVE-2020-6453,Google,Chrome,Memory Corruption,Type confusion in v8,2020-03-26,2020-03-31,https://chromereleases.googleblog.com/2020/03/stable-channel-update-for-desktop_31.html,???,???,???
CVE-2020-8467,TrendMicro,Apex One/OfficeScan,Unspecified,Unspecified vulnerability in a migration tool component,???,2020-03-16,https://success.trendmicro.com/solution/000245571,???,???,Trend Micro Research
CVE-2020-8468,TrendMicro,Apex One/OfficeScan,Logic/Design Flaw,Content validation escape in agent client component,???,2020-03-16,https://success.trendmicro.com/solution/000245571,???,???,Trend Micro Research
CVE-2020-6418,Google,Chrome,Memory Corruption,Type confusion in v8,2020-02-18,2020-02-24,https://chromereleases.googleblog.com/2020/02/stable-channel-update-for-desktop_24.html,???,https://googleprojectzero.github.io/0days-in-the-wild/0day-RCAs/2020/CVE-2020-6418.html,Clement Lecigne of Google's Threat Analysis Group
CVE-2020-0674,Microsoft,Internet Explorer,Memory Corruption,Unspecified memory corruption in Internet Explorer,???,2020-02-11,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-0674,https://blogs.360.cn/post/apt-c-06_0day.html,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2020/CVE-2020-0674.html,"Yi Huang(@C0rk1_H) & Kang Yang(@dnpushme) of Qihoo 360 ATA, Clément Lecigne of Google’s Threat Analysis Group"
CVE-2019-17026,Mozilla,Firefox,Memory Corruption,Type confusion in IonMonkey JIT compiler,2020-01-07,2020-01-08,https://www.mozilla.org/en-US/security/advisories/mfsa2020-03/,???,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2020/CVE-2019-17026.html,Qihoo 360 ATA
CVE-2019-1458,Microsoft,Windows,Memory Corruption,Memory corruption in window switching,???,2019-12-10,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-1458,https://securelist.com/windows-0-day-exploit-cve-2019-1458-used-in-operation-wizardopium/95432/,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2019/CVE-2019-1458.html,Anton Ivanov and Alexey Kulaev of Kaspersky Lab
CVE-2019-1429,Microsoft,Internet Explorer,Memory Corruption,Unspecified memory corruption in Internet Explorer,???,2019-11-12,https://portal.msrc.microsoft.com/en-us/security-guidance/advisory/CVE-2019-1429,???,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2019/CVE-2019-1367.html,Clément Lecigne of Google’s Threat Analysis Group & Ivan Fratric of Google Project Zero
CVE-2019-13720,Google,Chrome,Memory Corruption,Use-after-free in audio,2019-10-29,2019-10-31,https://chromereleases.googleblog.com/2019/10/stable-channel-update-for-desktop_31.html,https://securelist.com/chrome-0-day-exploit-cve-2019-13720-used-in-operation-wizardopium/94866/,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2019/CVE-2019-13720.html,Anton Ivanov and Alexey Kulaev of Kaspersky Lab
CVE-2019-18187,Trend Micro,OfficeScan,Logic/Design Flaw,Directory traversal in ZIP file extraction,???,2019-10-28,https://success.trendmicro.com/solution/000151730,???,???,Trend Micro Research
CVE-2019-2215,Google,Android,Memory Corruption,Use-after-free in Binder,2019-09-26,2019-10-06,https://source.android.com/security/bulletin/2019-10-01.html#kernel-b,https://bugs.chromium.org/p/project-zero/issues/detail?id=1942,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2019/CVE-2019-2215.html,Maddie Stone of Google Project Zero
CVE-2019-1367,Microsoft,Internet Explorer,Memory Corruption,Unspecified memory corruption in Internet Explorer,???,2019-09-23,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-1367,???,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2019/CVE-2019-1367.html,Clément Lecigne of Google’s Threat Analysis Group
CVE-2019-0880,Microsoft,Windows,Logic/Design Flaw,Sandbox escape in splwow64.exe,???,2019-07-09,https://portal.msrc.microsoft.com/en-us/security-guidance/advisory/CVE-2019-0880,???,???,"Gene Yoo of Resecurity, Inc."
CVE-2019-1132,Microsoft,Windows,Memory Corruption,Unspecified memory corruption in win32k,???,2019-07-09,https://portal.msrc.microsoft.com/en-us/security-guidance/advisory/CVE-2019-1132,https://www.welivesecurity.com/2019/07/10/windows-zero-day-cve-2019-1132-exploit/,???,"Anton Cherepanov, Senior Malware Researcher of ESET"
CVE-2019-11708,Mozilla,Firefox,Logic/Design Flaw,Sandbox escape in Prompt:Open,???,2019-06-20,https://www.mozilla.org/en-US/security/advisories/mfsa2019-19/,???,???,Coinbase Security
CVE-2019-11707,Mozilla,Firefox,Memory Corruption,Type confusion in Array.pop,???,2019-06-18,https://www.mozilla.org/en-US/security/advisories/mfsa2019-18/,???,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2019/CVE-2019-11707.html,"Samuel Groß of Google Project Zero, Coinbase Security"
CVE-2019-3568,Facebook,WhatsApp,Memory Corruption,Buffer overflow in SRTCP packets,???,2019-05-13,https://www.facebook.com/security/advisories/cve-2019-3568,https://research.checkpoint.com/the-nso-whatsapp-vulnerability-this-is-how-it-happened/,???,???
CVE-2019-0803,Microsoft,Windows,Memory Corruption,Unspecified memory corruption in win32k,???,2019-04-09,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-0803,???,???,Donghai Zhu of Alibaba Cloud Intelligence Security Team
CVE-2019-0859,Microsoft,Windows,Memory Corruption,Use-after-free in CreateWindowEx,2019-03-17,2019-04-09,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-0859,https://securelist.com/new-win32k-zero-day-cve-2019-0859/90435/,???,Vasily Berdnikov & Boris Larin of Kaspersky Lab
CVE-2019-0808,Microsoft,Windows,Memory Corruption,NULL pointer dereference in win32k!xxxMNFindWindowFromPoint,???,2019-03-12,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-0808,https://blog.360totalsecurity.com/en/analysis-of-the-causes-of-cve-2019-0808-core-elevation-permission-vulnerability/,???,Clément Lecigne of Google’s Threat Analysis Group
CVE-2019-0797,Microsoft,Windows,Memory Corruption,Race condition in NtDCompositionDestroyConnection,2019-02-22,2019-03-12,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-0797,https://securelist.com/cve-2019-0797-zero-day-vulnerability/89885/,???,Vasily Berdnikov & Boris Larin of Kaspersky Lab
CVE-2019-0703,Microsoft,Windows,Information Leak,Unspecified information leak vulnerability in SMB,???,2019-03-12,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-0703,???,???,Piotr Krysiuk of Symantec & Andrew Burkhardt of MSRC Vulnerabilities & Mitigations Team
CVE-2019-5786,Google,Chrome,Memory Corruption,Use-after-free in FileReader,2019-02-27,2019-03-01,https://chromereleases.googleblog.com/2019/03/stable-channel-update-for-desktop.html,https://blog.exodusintel.com/2019/03/20/cve-2019-5786-analysis-and-exploitation/,???,Clement Lecigne of Google's Threat Analysis Group
CVE-2019-0676,Microsoft,Internet Explorer,Information Leak,Unspecified information leak vulnerability,???,2019-02-12,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-0676,???,???,Clement Lecigne of Google’s Threat Analysis Group
CVE-2019-7286,Apple,iOS,Memory Corruption,Use-after-free in CFPrefsDaemon,???,2019-02-07,https://support.apple.com/en-us/HT209520,https://blog.zecops.com/vulnerabilities/analysis-and-reproduction-of-cve-2019-7286/,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2019/CVE-2019-7286.html,"Clement Lecigne of Google Threat Analysis Group, Ian Beer & Samuel Groß of Google Project Zero, & an anonymous researcher"
CVE-2019-7287,Apple,iOS,Memory Corruption,Buffer overflow in ProvInfoIOKitUserClient,???,2019-02-07,https://support.apple.com/en-us/HT209520,https://www.antid0te.com/blog/19-02-23-ios-kernel-cve-2019-7287-memory-corruption-vulnerability.html,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2019/CVE-2019-7287.html,"Clement Lecigne of Google Threat Analysis Group, Ian Beer & Samuel Groß of Google Project Zero, & an anonymous researcher"
CVE-2018-8653,Microsoft,Internet Explorer,Memory Corruption,Use-after-free in Enumerator,???,2018-12-19,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-8653,https://securingtomorrow.mcafee.com/other-blogs/mcafee-labs/ie-scripting-flaw-still-a-threat-to-unpatched-systems-analyzing-cve-2018-8653/,???,Clement Lecigne of Google’s Threat Analysis Group
CVE-2018-8611,Microsoft,Windows,Memory Corruption,Race condition in kernel transaction manager,2018-10-29,2018-12-11,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-8611,https://securelist.com/zero-day-in-windows-kernel-transaction-manager-cve-2018-8611/89253/,???,Boris Larin (Oct0xor) & Igor Soumenkov (2igosha) of Kaspersky Lab
CVE-2018-15982,Adobe,Flash,Memory Corruption,Use-after-free in TVSDK Metadata,2018-11-29,2018-12-05,https://helpx.adobe.com/security/products/flash-player/apsb18-42.html?red=a,http://blogs.360.cn/post/PoisonNeedles_CVE-2018-15982_EN,???,"Chenming Xu and Ed Miles of Gigamon ATR, Yang Kang (@dnpushme) and Jinquan (@jq0904) of Qihoo 360 Core Security (@360CoreSec), He Zhiqiu, Qu Yifan, Bai Haowen, Zeng Haitao and Gu Liang of 360 Threat Intelligence of 360 Enterprise Security Group, b2ahex"
CVE-2018-8589,Microsoft,Windows,Memory Corruption,Race condition in win32k!xxxMoveWindow,2018-10-17,2018-11-13,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-8589,https://securelist.com/a-new-exploit-for-zero-day-vulnerability-cve-2018-8589/88845/,???,Boris Larin (Oct0xor) & Igor Soumenkov (2igosha) of Kaspersky Lab
CVE-2018-8453,Microsoft,Windows,Memory Corruption,Use-after-free in win32kfull!xxxDestroyWindow,2018-08-17,2018-10-09,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-8453,https://securelist.com/cve-2018-8453-used-in-targeted-attacks/88151/,???,Kaspersky Lab
CVE-2018-8373,Microsoft,VBScript,Memory Corruption,Use-after-free in VBScript AssignVar,2018-07-11,2018-08-14,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-8373,https://blog.trendmicro.com/trendlabs-security-intelligence/use-after-free-uaf-vulnerability-cve-2018-8373-in-vbscript-engine-affects-internet-explorer-to-run-shellcode/,???,Elliot Cao of Trend Micro Security Research working with Trend Micro’s Zero Day Initiative (ZDI)
CVE-2018-5002,Adobe,Flash,Memory Corruption,Out-of-bounds read/write in AVM li8 opcode,???,2018-06-07,https://helpx.adobe.com/security/products/flash-player/apsb18-19.html,https://s.tencent.com/research/report/489.html,???,"Chenming Xu and Jason Jones of ICEBRG, Bai Haowen, Zeng Haitao and Huang Chaowen of 360 Threat Intelligence Center of 360 Enterprise Security Group, and Yang Kang, Hu Jiang, Zhang Qing, and Jin Quan of Qihoo 360 Core Security (@360CoreSec), Tencent PC Manager (http://guanjia.qq.com/) "
CVE-2018-4990,Adobe,Reader,Memory Corruption,Out-of-bounds free in JPEG2000 CMAP,???,2018-05-14,https://helpx.adobe.com/security/products/acrobat/apsb18-09.html,https://srcincite.io/blog/2018/05/21/adobe-me-and-a-double-free.html,???,"Anton Cherepanov of ESET & Matt Oh of Microsoft, Ke Liu of Tencent's Xuanwu LAB working via Trend Micro's Zero Day Initiative"
CVE-2018-8120,Microsoft,Windows,Memory Corruption,NULL pointer dereference in NtUserSetImeInfoEx,???,2018-05-08,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-8120,https://www.welivesecurity.com/2018/05/15/tale-two-zero-days/,???,"Anton Cherepanov, Senior Malware Researcher of ESET"
CVE-2018-8174,Microsoft,VBScript,Memory Corruption,Use-after-free in VBScriptClass::Release,???,2018-05-08,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-8174,https://securelist.com/root-cause-analysis-of-cve-2018-8174/85486/,???,"Dan Lutas of Bitdefender, Ding Maoyin of Qihoo 360 Core Security, Anton Ivanov of Kaspersky Lab, Song Shenlei of Qihoo 360 Core Security, Anonymous working with Trend Micro's Zero Day Initiative, Simon Zuckerbraun working with Trend Micro's Zero Day Initiative, Yang Kang of Qihoo 360 Core Security, Jinquan of Qihoo 360 Core Security, Vladislav Stolyarov of Kaspersky Lab"
CVE-2018-4878,Adobe,Flash,Memory Corruption,Use-after-free in MediaPlayer DRM Listener,???,2018-02-06,https://helpx.adobe.com/security/products/flash-player/apsb18-03.html,http://blog.morphisec.com/cve-2018-4878-an-analysis-of-the-flash-player-hack,???,KrCERT/CC
CVE-2018-0802,Microsoft,Office,Memory Corruption,Buffer overflow in equation editor lfFaceName,???,2018-01-09,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0802,https://www.freebuf.com/vuls/159789.html,???,"Liang Yin of Tencent PC Manager, Zhiyuan Zheng, Yuki Chen of Qihoo 360 Vulcan Team, Yang Kang, Ding Maoyin and Song Shenlei, and Jinquan of Qihoo 360 Core Security (@360CoreSec), Luka Treiber of 0patch Team - ACROS Security, zhouat of Qihoo 360 Vulcan Team, bee13oy of Qihoo 360 Vulcan Team, Netanel Ben Simon and Omer Gull of Check Point Software Technologies"
CVE-2017-11292,Adobe,Flash,Memory Corruption,Type confusion in TVSDK BufferControlParameters,2017-10-10,2017-10-16,https://helpx.adobe.com/security/products/flash-player/apsb17-32.html,https://securelist.com/blackoasis-apt-and-new-targeted-attacks-leveraging-zero-day-exploit/82732/,???,Anton Ivanov of Kaspersky Labs
CVE-2017-11826,Microsoft,Office,Memory Corruption,Memory corruption in Open XML format nested tags,2017-09-28,2017-10-10,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2017-11826,https://securingtomorrow.mcafee.com/other-blogs/mcafee-labs/analyzing-microsoft-office-zero-day-exploit-cve-2017-11826-memory-corruption-vulnerability/,???,"Yang Kang, Ding Maoyin and Song Shenlei of Qihoo 360 Core Security (@360CoreSec)"
CVE-2017-8759,Microsoft,Office,Logic/Design Flaw,Code injection in SOAP WSDL parser,???,2017-09-12,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2017-8759,https://www.fireeye.com/blog/threat-research/2017/09/zero-day-used-to-distribute-finspy.html,???,"Genwei Jiang and Dhanesh Kizhakkinan of FireEye, Inc."
CVE-2017-8464,Microsoft,Windows,Logic/Design Flaw,Code injection in LNK file ExtraData parsing,???,2017-06-13,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2017-8464,http://www.vxjump.net/files/vuln_analysis/cve-2017-8464.txt,???,???
CVE-2017-8543,Microsoft,Windows,Memory Corruption,Buffer overflow in Windows Search CTableVariant,???,2017-06-13,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2017-8543,https://mp.weixin.qq.com/s/X2JcKCpCH4exDoxMK5oN5Q?,???,???
CVE-2017-0261,Microsoft,Office,Memory Corruption,Use-after free in EPS restore operator,???,2017-05-09,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2017-0261,https://www.fireeye.com/blog/threat-research/2017/05/eps-processing-zero-days.html,???,"Genwei Jiang of FireEye, Inc., Steven Hunter of MSRC Vulnerabilities & Mitigations"
CVE-2017-0262,Microsoft,Office,Memory Corruption,Type Confusion in EPS forall operator,???,2017-05-09,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2017-0262,https://www.fireeye.com/blog/threat-research/2017/05/eps-processing-zero-days.html,???,"Thomas Dupuy and Jessy Campos of ESET, Genwei Jiang of FireEye, Inc."
CVE-2017-0263,Microsoft,Windows,Memory Corruption,Use-after-free in win32k!xxxDestroyWindow,???,2017-05-09,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2017-0263,https://www.fireeye.com/blog/threat-research/2017/05/eps-processing-zero-days.html,???,"Mikhail Tsvetkov of Positive Technologies, Dhanesh Kizhakkinan of FireEye Inc, Thomas Dupuy and Jessy Campos of ESET"
CVE-2017-0222,Microsoft,Internet Explorer,Memory Corruption,Unspecified memory corruption in Internet Explorer,???,2017-05-09,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2017-0222,???,???,???
CVE-2017-8291,Ghostscript,Ghostscript,Memory Corruption,Type confusion in rsdparams internal operator,???,2017-04-27,https://bugs.ghostscript.com/show_bug.cgi?id=697799,https://git.ghostscript.com/?p=ghostpdl.git;a=commitdiff;h=04b37bbce1,???,???
CVE-2017-0210,Microsoft,Internet Explorer,UXSS,UXSS in htmlFile ActiveX control,???,2017-04-11,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2017-0210,https://blog.talosintelligence.com/2017/04/ms-tuesday.html,???,???
CVE-2017-0199,Microsoft,Office,Logic/Design Flaw,Logic/design flaw in embedded HTA documents,???,2017-04-11,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2017-0199,https://www.fireeye.com/blog/threat-research/2017/04/cve-2017-0199-hta-handler.html,???,"Ryan Hanson (@Ryhanson) of Optiv, Microsoft MSRC Vulnerabilities and Mitigations Team, Microsoft Office Security Team, Genwei Jiang, FLARE Team, FireEye Inc, Eduardo Braun Prado of SecuriTeam Secure Disclosure (SSD)"
CVE-2017-1274,IBM,Domino,Memory Corruption,Buffer overflow in IMAP EXAMINE (EmphasisMine),???,2017-03-20,http://www-01.ibm.com/support/docview.wss?uid=swg22002280,???,???,???
CVE-2017-3881,Cisco,IOS,Memory Corruption,Buffer overflow in IOS Cluster Management Protocol,???,2017-03-17,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20170317-cmp,https://artkond.com/2017/04/10/cisco-catalyst-remote-code-execution/,???,Vault 7 Disclosure
CVE-2017-0149,Microsoft,Internet Explorer,Memory Corruption,Memory corruption in VBScript rtJoin,???,2017-03-14,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2017/ms17-006,https://twitter.com/jq0904/status/1062168435818283008,???,???
CVE-2017-0022,Microsoft,XML Core Services,Information Leak,Information leak in MSXML version resource,???,2017-03-14,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2017/ms17-022,https://blog.trendmicro.com/trendlabs-security-intelligence/cve-2017-0022-microsoft-patches-vulnerability-exploited-adgholas-neutrino/,???,"Will Matcalf of Proofpoint, Kafeine of Proofpoint, Joseph C Chen of Trend Micro, Brooks Li of Trend Micro"
CVE-2017-0005,Microsoft,Windows,Memory Corruption,Unspecified memory corruption in GDI,???,2017-03-14,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2017/ms17-013,https://cloudblogs.microsoft.com/microsoftsecure/2017/03/27/detecting-and-mitigating-elevation-of-privilege-exploit-for-cve-2017-0005/,???,Lockheed Martin Computer Incident Response Team
CVE-2017-0143,Microsoft,Windows,Memory Corruption,Type confusion in SMB messages (EternalSynergy),???,2017-03-14,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2017/ms17-010,https://blogs.technet.microsoft.com/srd/2017/07/13/eternal-synergy-exploit-analysis/,???,???
CVE-2017-0144,Microsoft,Windows,Memory Corruption,Buffer overflow in SMB File Extended Attributes (EternalBlue),???,2017-03-14,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2017/ms17-010,https://research.checkpoint.com/eternalblue-everything-know/,???,???
CVE-2017-0145,Microsoft,Windows,Memory Corruption,Unspecified type confusion in SMB (EternalRomance),???,2017-03-14,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2017/ms17-010,https://www.microsoft.com/security/blog/2017/06/16/analysis-of-the-shadow-brokers-release-and-mitigation-with-windows-10-virtualization-based-security/,???,???
CVE-2017-0146,Microsoft,Windows,Memory Corruption,Race condition in SMB transactions (EternalChampion),???,2017-03-14,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2017/ms17-010,https://blogs.technet.microsoft.com/srd/2017/06/29/eternal-champion-exploit-analysis/,???,???
CVE-2017-0147,Microsoft,Windows,Information Leak,Information leak in SMB transactions (EternalChampion),???,2017-03-14,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2017/ms17-010,https://blogs.technet.microsoft.com/srd/2017/06/29/eternal-champion-exploit-analysis/,???,???
CVE-2016-7892,Adobe,Flash,Memory Corruption,Unspecified use-after-free issue,???,2016-12-13,https://helpx.adobe.com/security/products/flash-player/apsb16-39.html,???,???,Anonymous researcher working with JPCERT/CA
CVE-2016-9079,Mozilla,Firefox,Memory Corruption,Use-after-free in SVG Animation (Tor exploit),2016-11-29,2016-11-30,https://www.mozilla.org/en-US/security/advisories/mfsa2016-92/,https://bugzilla.mozilla.org/show_bug.cgi?id=1321066,???,Obscured Team
CVE-2016-7256,Microsoft,Windows,Memory Corruption,Memory corruption on OpenType fonts CFF name index,???,2016-11-08,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2016/ms16-132,https://asec.ahnlab.com/1050,???,Kijong Son of KrCERT/CC in Korean Internet & Security Agency (KISA)
CVE-2016-7255,Microsoft,Windows Kernel,Memory Corruption,Memory corruption in NtUserSetWindowLongPtr,2016-10-21,2016-11-08,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2016/ms16-135,https://blog.trendmicro.com/trendlabs-security-intelligence/one-bit-rule-system-analyzing-cve-2016-7255-exploit-wild/,???,"Feike Hacquebord, Peter Pi, and Brooks Li of Trend Micro, Neel Mehta and Billy Leonard of Google’s Threat Analysis Group"
CVE-2016-7855,Adobe,Flash,Memory Corruption,Unspecified use-after-free issue,2016-10-21,2016-10-26,https://helpx.adobe.com/security/products/flash-player/apsb16-36.html,https://security.googleblog.com/2016/10/disclosing-vulnerabilities-to-protect.html,???,Neel Mehta and Billy Leonard from Google's Threat Analysis Group
CVE-2016-5195,Linux,Kernel,Memory Corruption,Race condition in copy-on-write (DirtyCOW),???,2016-10-18,https://github.com/dirtycow/dirtycow.github.io/wiki/VulnerabilityDetails,???,???,Phil Oester
CVE-2016-3298,Microsoft,Internet Explorer,Information Leak,Information leak in Microsoft.XMLDOM,2016-04-12,2016-10-11,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2016/ms16-118,https://blog.trendmicro.com/trendlabs-security-intelligence/cve-2016-3298-microsoft-fixes-another-ie-zero-day-used-in-adgholas/,???,???
CVE-2016-3393,Microsoft,Windows,Memory Corruption,Memory corruption in TTF cjComputeGLYPHSET_MSFT_GENERAL,???,2016-10-11,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2016/ms16-120,https://securelist.com/windows-zero-day-exploit-used-in-targeted-attacks-by-fruityarmor-apt/76396/,???,???
CVE-2016-7193,Microsoft,Office,Memory Corruption,Memory corruption in \dfrxst,???,2016-10-11,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2016/ms16-121,https://paper.seebug.org/288/,???,???
CVE-2016-3351,Microsoft,Internet Explorer,Information Leak,Information leak in a.mimeType,???,2016-09-13,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2016/ms16-104,https://blog.trendmicro.com/trendlabs-security-intelligence/microsoft-patches-ieedge-zeroday-used-in-adgholas-malvertising-campaign/,???,"Kafeine, Brooks Li ofTrend Micro"
CVE-2016-4655,Apple,iOS,Information Leak,Information leak in kernel OSUnserializeBinary (Pegasus),2016-08-15,2016-08-25,https://support.apple.com/en-us/HT207107,https://jndok.github.io/2016/10/04/pegasus-writeup/,???,Citizen Lab and Lookout
CVE-2016-4656,Apple,iOS,Memory Corruption,Use-after-free in kernel OSUnserializeBinary (Pegasus),2016-08-15,2016-08-25,https://support.apple.com/en-us/HT207107,https://jndok.github.io/2016/10/04/pegasus-writeup/,???,Citizen Lab and Lookout
CVE-2016-4657,Apple,WebKit,Memory Corruption,Use-after-free in MarkedArgumentBuffer (Pegasus),2016-08-15,2016-08-25,https://support.apple.com/en-us/HT207107,???,???,Citizen Lab and Lookout
CVE-2016-6366,Cisco,ASA,Memory Corruption,Buffer overflow in SNMP parsing (EXTRABACON),2016-08-15,2016-08-17,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20160817-asa-snmp,https://blog.silentsignal.eu/2016/08/25/bake-your-own-extrabacon/,???,Shadow Brokers
CVE-2016-6367,Cisco,ASA,Memory Corruption,Buffer overflow in CLI parsing (EPICBANANA),2016-08-15,2016-08-17,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20160817-asa-cli,???,???,Shadow Brokers
CVE-2016-4171,Adobe,Flash,Memory Corruption,Memory corruption in ExecPolicy metadata parsing,???,2016-06-15,https://helpx.adobe.com/security/products/flash-player/apsb16-18.html,https://securelist.com/operation-daybreak/75100/,???,Anton Ivanov of Kaspersky
CVE-2016-4117,Adobe,Flash,Memory Corruption,Type confusion in tvsdk DeleteRangeTimelineOperation,2016-05-08,2016-05-12,https://helpx.adobe.com/security/products/flash-player/apsb16-15.html,https://www.fireeye.com/blog/threat-research/2016/05/cve-2016-4117-flash-zero-day.html,???,"Genwei Jiang of FireEye, Inc"
CVE-2016-0189,Microsoft,Internet Explorer,Memory Corruption,Memory corruption in VBScript AccessArray,???,2016-05-10,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2016/ms16-051,https://theori.io/research/cve-2016-0189,???,???
CVE-2016-0162,Microsoft,Internet Explorer,Information Leak,Unspecified file detection issue,???,2016-04-12,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2016/ms16-037,https://www.welivesecurity.com/2016/12/06/readers-popular-websites-targeted-stealthy-stegano-exploit-kit-hiding-pixels-malicious-ads/,???,"Ladislav Janko, working with ESET"
